id,trigger,conditions,script,text,options,notes
icfbXentTaboOfferText,DialogOptionSelected,"$id == icfb_xent
$option == tabo_start","$missionId = tabo
Highlight $tabo_dist $tabo_reward $tabo_fuel
Call $tabo_ref showMap ""Target: $tabo_marketName""","""In order to enable our grand work, a tactical bombardment of $tabo_marketName is in order. It is $tabo_dist light-years away. I believe you could perform this mission adequately,"" $heOrShe says, ""And I have allocated $tabo_reward credits to cover your expenses.""

A shared intel briefing appears in your display. You briefly review maps and intel together and come to estimate that you would need around $tabo_fuel fuel to carry out the bombardment according to mission parameters.

""Is this acceptable?""","contact_accept:Accept
contact_decline:Decline",
icfbXentDdroOfferText,DialogOptionSelected,"$id == icfb_xent
$option == ddro_start","$missionId = ddro
Highlight $ddro_dist $ddro_reward
Call $ddro_ref showMap ""Destination: $ddro_systemName""","$PersonName looks you over silently for a moment, then his screen flickers.

""It's a simple task. Deliver this item to the specified location in $ddro_systemName, $ddro_dist light-years away. Don't be seen making the drop, and don't tell anyone about it. The reward is $ddro_reward credits."" The comm link fills with static for a second, and your display is overlaid with a $ddro_aOrAnThing. 

""Do you accept my terms?""","contact_accept:Accept
contact_decline:Decline",
,,,,,,
# Bounty Details,,,,,,
icfbXentCBPirate,CBPirateOfferDesc,"$id == icfb_xent","Highlight $bcb_dist $bcb_reward $bcb_days","With a flash of static, Xent's face is replaced by one that scowls at you from an arrest record holo.

""A pirate is hiding out in the $bcb_systemName, which is $bcb_dist light-years away. Had a falling out with an associate who talked. That gave me enough to confirm the intel.""

""The reward is $bcb_reward credits and you will have $bcb_days days to carry out the job. Is this acceptable?""",,
icfbXentCBPather,CBPatherOfferDesc,"$id == icfb_xent","Highlight $bcb_dist $bcb_reward $bcb_days","Xent seems a bit more... emotional than usual. He bares his teeth in apparent frustration.

""A heretical cancer makes their lair within $bcb_systemName, $bcb_dist light-years away. This one is on a path to hault our great work, and must be eliminated.""

""The reward is $bcb_reward credits and you will have $bcb_days days to carry out the job. The Greater Will shall smile upon you if you accept this task.""",,
icfbXentCBDeserter,CBDeserterOfferDesc,"$id == icfb_xent","Highlight $bcb_dist $bcb_reward $bcb_days","""A betrayal has occurred within our blessed ranks,"" Xent says, his visage notably bothered.

""One of my colleagues, in the same class as you, decided to abandon our great work. His inside knowledge is dangerous to our cause, so he must be removed from the stage. I know $bcb_targetHeOrShe is hiding in the $bcb_systemName, which is $bcb_dist light-years from here.""

""The reward is $bcb_reward credits and you will have $bcb_days days to carry out the job. Is this acceptable?""",,
icfbXentCBMerc,CBMercOfferDesc,"$id == icfb_xent","Highlight $bcb_dist $bcb_reward $bcb_days","""This one is irksome,"" he pauses, ""Most troubling, even. The Greater Will tests us.""

""Someone was hired to hunt down my colleagues - you among them. The target is part of an elite mercenary group with access to powerful ordinance and expert captains. I believe the Boundless is behind this, trying to silence our song. $bcb_TargetHeOrShe is operating out of the $bcb_systemName, $bcb_dist light-years away.""

""The reward is $bcb_reward credits - ample pay - and with good reason. The Greater Will forbids you to take $bcb_targetHimOrHer lightly. Time to complete is $bcb_days days."" 

Xent looks at you with grim resolution. ""You are not the first to try this job. It is understandable to believe that this is beyond you.""",,
icfbXentCBDerelict,CBDerelictOfferDesc,"$id == icfb_xent","Highlight $bcb_dist $bcb_reward $bcb_days","Location: $bcb_systemName
Distance: $bcb_dist light-years
Reward: $bcb_reward credits
Time Limit: $bcb_days days",,
icfbXentCBRemnant,CBRemnantOfferDesc,"$id == icfb_xent","Highlight $bcb_dist $bcb_reward $bcb_days","Location: $bcb_systemName
Distance: $bcb_dist light-years
Reward: $bcb_reward credits
Time Limit: $bcb_days days",,
icfbXentCBRemnantPlus,CBRemnantPlusOfferDesc,"$id == icfb_xent","Highlight $bcb_dist $bcb_reward $bcb_days","Location: $bcb_systemName
Distance: $bcb_dist light-years
Reward: $bcb_reward credits
Time Limit: $bcb_days days",,
icfbXentCBRemnantStation,CBRemnantStationOfferDesc,"$id == icfb_xent","Highlight $bcb_dist $bcb_reward $bcb_days","Location: $bcb_systemName
Distance: $bcb_dist light-years
Reward: $bcb_reward credits
Time Limit: $bcb_days days",,
icfbXentCBEnemyStation,CBEnemyStationOfferDesc,"$id == icfb_xent","Highlight $bcb_dist $bcb_reward $bcb_days","Location: $bcb_systemName
Distance: $bcb_dist light-years
Reward: $bcb_reward credits
Time Limit: $bcb_days days",,
"#END Bounty Details",,,,,,
"#END Xent Missions",,,,,,
"#END Jumpstart Required Quest",,,,,,

